Datetime,100031297 (Promenade),101031297 (Promenade Radfahrer FR Mauritztor),102031297 (Promenade Radfahrer FR Salzstraße),103031297 (Promenade Radfahrer FR Mauritztor),104031297 (Promenade Radfahrer FR Salzstraße),105031297 (Promenade Radfahrer FR Mauritztor),106031297 (Promenade Radfahrer FR Salzstraße),100031297-status,101031297-status,102031297-status,103031297-status,104031297-status,105031297-status,106031297-status
2023-08-01 00:00,22,0,5,7,3,7,0,0,0,0,0,0,0,0
2023-08-01 00:15,21,3,5,4,0,9,0,0,0,0,0,0,0,0
2023-08-01 00:30,12,0,9,0,1,2,0,0,0,0,0,0,0,0
2023-08-01 00:45,3,0,1,0,0,2,0,0,0,0,0,0,0,0
2023-08-01 01:00,5,0,2,1,0,2,0,0,0,0,0,0,0,0
2023-08-01 01:15,3,0,0,0,0,3,0,0,0,0,0,0,0,0
2023-08-01 01:30,7,1,2,2,0,2,0,0,0,0,0,0,0,0
2023-08-01 01:45,6,0,3,1,0,2,0,0,0,0,0,0,0,0
2023-08-01 02:00,4,0,0,1,0,3,0,0,0,0,0,0,0,0
2023-08-01 02:15,4,0,1,0,1,1,1,0,0,0,0,0,0,0
2023-08-01 02:30,7,0,3,2,0,2,0,0,0,0,0,0,0,0
2023-08-01 02:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-01 03:00,2,0,0,1,0,1,0,0,0,0,0,0,0,0
2023-08-01 03:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-01 03:30,3,0,2,0,1,0,0,0,0,0,0,0,0,0
2023-08-01 03:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-01 04:00,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2023-08-01 04:15,4,0,0,2,0,2,0,0,0,0,0,0,0,0
2023-08-01 04:30,5,0,4,0,0,1,0,0,0,0,0,0,0,0
2023-08-01 04:45,12,0,5,2,2,3,0,0,0,0,0,0,0,0
2023-08-01 05:00,14,0,6,3,0,5,0,0,0,0,0,0,0,0
2023-08-01 05:15,23,0,14,1,2,5,1,0,0,0,0,0,0,0
2023-08-01 05:30,35,0,18,4,2,11,0,0,0,0,0,0,0,0
2023-08-01 05:45,50,2,21,3,0,24,0,0,0,0,0,0,0,0
2023-08-01 06:00,56,0,31,8,2,15,0,0,0,0,0,0,0,0
2023-08-01 06:15,77,0,44,6,2,25,0,0,0,0,0,0,0,0
2023-08-01 06:30,103,0,44,15,2,42,0,0,0,0,0,0,0,0
2023-08-01 06:45,146,1,74,8,10,53,0,0,0,0,0,0,0,0
2023-08-01 07:00,167,0,101,15,13,38,0,0,0,0,0,0,0,0
2023-08-01 07:15,202,0,119,7,15,61,0,0,0,0,0,0,0,0
2023-08-01 07:30,238,0,132,18,7,81,0,0,0,0,0,0,0,0
2023-08-01 07:45,329,0,178,15,20,113,3,0,0,0,0,0,0,0
2023-08-01 08:00,223,2,130,6,21,64,0,0,0,0,0,0,0,0
2023-08-01 08:15,275,0,159,15,22,79,0,0,0,0,0,0,0,0
2023-08-01 08:30,244,0,144,12,18,70,0,0,0,0,0,0,0,0
