Datetime,100031300 (Hafenstraße),101031300 (Channel 1 IN),102031300 (Channel 2 OUT),100031300-status,101031300-status,102031300-status
2022-11-01 00:00,128,96,32,0,0,0
2022-11-01 00:15,98,68,30,0,0,0
2022-11-01 00:30,126,95,31,0,0,0
2022-11-01 00:45,143,95,48,0,0,0
2022-11-01 01:00,112,72,40,0,0,0
2022-11-01 01:15,72,27,45,0,0,0
2022-11-01 01:30,81,42,39,0,0,0
2022-11-01 01:45,80,47,33,0,0,0
2022-11-01 02:00,62,30,32,0,0,0
2022-11-01 02:15,46,17,29,0,0,0
2022-11-01 02:30,62,20,42,0,0,0
2022-11-01 02:45,69,11,58,0,0,0
2022-11-01 03:00,90,13,77,0,0,0
2022-11-01 03:15,67,23,44,0,0,0
2022-11-01 03:30,56,19,37,0,0,0
2022-11-01 03:45,61,9,52,0,0,0
2022-11-01 04:00,68,16,52,0,0,0
2022-11-01 04:15,68,13,55,0,0,0
2022-11-01 04:30,57,9,48,0,0,0
2022-11-01 04:45,45,8,37,0,0,0
2022-11-01 05:00,29,4,25,0,0,0
2022-11-01 05:15,28,9,19,0,0,0
2022-11-01 05:30,14,1,13,0,0,0
2022-11-01 05:45,20,6,14,0,0,0
2022-11-01 06:00,26,7,19,0,0,0
2022-11-01 06:15,14,3,11,0,0,0
2022-11-01 06:30,22,7,15,0,0,0
2022-11-01 06:45,10,4,6,0,0,0
2022-11-01 07:00,17,4,13,0,0,0
2022-11-01 07:15,23,12,11,0,0,0
2022-11-01 07:30,15,4,11,0,0,0
2022-11-01 07:45,18,3,15,0,0,0
2022-11-01 08:00,13,5,8,0,0,0
2022-11-01 08:15,21,10,11,0,0,0
2022-11-01 08:30,18,9,9,0,0,0
2022-11-01 08:45,26,11,15,0,0,0
2022-11-01 09:00,23,9,14,0,0,0
2022-11-01 09:15,25,10,15,0,0,0
2022-11-01 09:30,35,10,25,0,0,0
2022-11-01 09:45,48,26,22,0,0,0
2022-11-01 10:00,40,21,19,0,0,0
2022-11-01 10:15,38,21,17,0,0,0
2022-11-01 10:30,30,17,13,0,0,0
2022-11-01 10:45,53,30,23,0,0,0
2022-11-01 11:00,42,15,27,0,0,0
2022-11-01 11:15,50,20,30,0,0,0
2022-11-01 11:30,47,19,28,0,0,0
2022-11-01 11:45,62,43,19,0,0,0
2022-11-01 12:00,61,27,34,0,0,0
2022-11-01 12:15,55,29,26,0,0,0
2022-11-01 12:30,68,30,38,0,0,0
2022-11-01 12:45,76,32,44,0,0,0
2022-11-01 13:00,64,30,34,0,0,0
2022-11-01 13:15,65,38,27,0,0,0
2022-11-01 13:30,57,23,34,0,0,0
2022-11-01 13:45,69,37,32,0,0,0
2022-11-01 14:00,87,42,45,0,0,0
2022-11-01 14:15,90,43,47,0,0,0
2022-11-01 14:30,102,54,48,0,0,0
2022-11-01 14:45,101,35,66,0,0,0
2022-11-01 15:00,56,27,29,0,0,0
2022-11-01 15:15,86,49,37,0,0,0
2022-11-01 15:30,79,43,36,0,0,0
2022-11-01 15:45,81,38,43,0,0,0
2022-11-01 16:00,95,40,55,0,0,0
2022-11-01 16:15,79,42,37,0,0,0
2022-11-01 16:30,85,35,50,0,0,0
2022-11-01 16:45,112,52,60,0,0,0
2022-11-01 17:00,86,38,48,0,0,0
2022-11-01 17:15,71,41,30,0,0,0
2022-11-01 17:30,74,39,35,0,0,0
2022-11-01 17:45,83,39,44,0,0,0
2022-11-01 18:00,86,49,37,0,0,0
2022-11-01 18:15,70,35,35,0,0,0
2022-11-01 18:30,50,24,26,0,0,0
2022-11-01 18:45,77,37,40,0,0,0
2022-11-01 19:00,77,31,46,0,0,0
2022-11-01 19:15,75,38,37,0,0,0
2022-11-01 19:30,57,30,27,0,0,0
2022-11-01 19:45,51,28,23,0,0,0
2022-11-01 20:00,57,25,32,0,0,0
2022-11-01 20:15,59,24,35,0,0,0
2022-11-01 20:30,61,26,35,0,0,0
2022-11-01 20:45,40,9,31,0,0,0
2022-11-01 21:00,39,15,24,0,0,0
2022-11-01 21:15,35,18,17,0,0,0
2022-11-01 21:30,28,7,21,0,0,0
2022-11-01 21:45,50,22,28,0,0,0
2022-11-01 22:00,34,17,17,0,0,0
2022-11-01 22:15,33,11,22,0,0,0
2022-11-01 22:30,31,8,23,0,0,0
2022-11-01 22:45,38,15,23,0,0,0
2022-11-01 23:00,28,10,18,0,0,0
2022-11-01 23:15,29,9,20,0,0,0
2022-11-01 23:30,11,5,6,0,0,0
2022-11-01 23:45,4,3,1,0,0,0
2022-11-02 00:00,12,5,7,0,0,0
2022-11-02 00:15,4,2,2,0,0,0
2022-11-02 00:30,9,5,4,0,0,0
2022-11-02 00:45,5,2,3,0,0,0
2022-11-02 01:00,7,4,3,0,0,0
2022-11-02 01:15,4,2,2,0,0,0
2022-11-02 01:30,3,1,2,0,0,0
2022-11-02 01:45,4,0,4,0,0,0
2022-11-02 02:00,3,1,2,0,0,0
2022-11-02 02:15,0,0,0,0,0,0
2022-11-02 02:30,0,0,0,0,0,0
2022-11-02 02:45,1,1,0,0,0,0
2022-11-02 03:00,0,0,0,0,0,0
2022-11-02 03:15,2,0,2,0,0,0
2022-11-02 03:30,2,2,0,0,0,0
2022-11-02 03:45,4,0,4,0,0,0
2022-11-02 04:00,2,0,2,0,0,0
2022-11-02 04:15,7,1,6,0,0,0
2022-11-02 04:30,10,1,9,0,0,0
2022-11-02 04:45,8,2,6,0,0,0
2022-11-02 05:00,4,2,2,0,0,0
2022-11-02 05:15,16,6,10,0,0,0
2022-11-02 05:30,12,4,8,0,0,0
2022-11-02 05:45,31,13,18,0,0,0
2022-11-02 06:00,26,10,16,0,0,0
2022-11-02 06:15,39,16,23,0,0,0
2022-11-02 06:30,60,36,24,0,0,0
2022-11-02 06:45,103,61,42,0,0,0
2022-11-02 07:00,104,57,47,0,0,0
2022-11-02 07:15,138,56,82,0,0,0
2022-11-02 07:30,173,72,101,0,0,0
2022-11-02 07:45,216,94,122,0,0,0
2022-11-02 08:00,221,89,132,0,0,0
2022-11-02 08:15,162,91,71,0,0,0
2022-11-02 08:30,159,91,68,0,0,0
2022-11-02 08:45,160,72,88,0,0,0
2022-11-02 09:00,110,53,57,0,0,0
2022-11-02 09:15,94,41,53,0,0,0
2022-11-02 09:30,109,40,69,0,0,0
2022-11-02 09:45,144,50,94,0,0,0
2022-11-02 10:00,114,41,73,0,0,0
2022-11-02 10:15,118,53,65,0,0,0
2022-11-02 10:30,100,43,57,0,0,0
2022-11-02 10:45,96,33,63,0,0,0
2022-11-02 11:00,95,31,64,0,0,0
2022-11-02 11:15,113,49,64,0,0,0
2022-11-02 11:30,134,66,68,0,0,0
2022-11-02 11:45,144,67,77,0,0,0
2022-11-02 12:00,152,59,93,0,0,0
2022-11-02 12:15,124,49,75,0,0,0
2022-11-02 12:30,127,68,59,0,0,0
2022-11-02 12:45,140,71,69,0,0,0
2022-11-02 13:00,125,66,59,0,0,0
2022-11-02 13:15,125,54,71,0,0,0
2022-11-02 13:30,118,48,70,0,0,0
2022-11-02 13:45,167,75,92,0,0,0
2022-11-02 14:00,151,86,65,0,0,0
2022-11-02 14:15,142,77,65,0,0,0
2022-11-02 14:30,142,65,77,0,0,0
2022-11-02 14:45,140,73,67,0,0,0
2022-11-02 15:00,123,65,58,0,0,0
2022-11-02 15:15,129,71,58,0,0,0
2022-11-02 15:30,136,62,74,0,0,0
2022-11-02 15:45,184,81,103,0,0,0
2022-11-02 16:00,177,91,86,0,0,0
2022-11-02 16:15,196,98,98,0,0,0
2022-11-02 16:30,158,70,88,0,0,0
2022-11-02 16:45,217,98,119,0,0,0
2022-11-02 17:00,168,69,99,0,0,0
2022-11-02 17:15,192,94,98,0,0,0
2022-11-02 17:30,178,86,92,0,0,0
2022-11-02 17:45,211,123,88,0,0,0
2022-11-02 18:00,189,83,106,0,0,0
2022-11-02 18:15,155,86,69,0,0,0
2022-11-02 18:30,142,77,65,0,0,0
2022-11-02 18:45,159,86,73,0,0,0
2022-11-02 19:00,150,66,84,0,0,0
2022-11-02 19:15,115,52,63,0,0,0
2022-11-02 19:30,101,53,48,0,0,0
2022-11-02 19:45,111,51,60,0,0,0
2022-11-02 20:00,107,52,55,0,0,0
2022-11-02 20:15,92,33,59,0,0,0
2022-11-02 20:30,78,36,42,0,0,0
2022-11-02 20:45,85,24,61,0,0,0
2022-11-02 21:00,66,27,39,0,0,0
2022-11-02 21:15,46,18,28,0,0,0
2022-11-02 21:30,67,22,45,0,0,0
2022-11-02 21:45,60,28,32,0,0,0
2022-11-02 22:00,57,24,33,0,0,0
2022-11-02 22:15,71,30,41,0,0,0
2022-11-02 22:30,78,22,56,0,0,0
2022-11-02 22:45,34,14,20,0,0,0
2022-11-02 23:00,39,9,30,0,0,0
2022-11-02 23:15,37,16,21,0,0,0
2022-11-02 23:30,25,8,17,0,0,0
2022-11-02 23:45,28,8,20,0,0,0
