Datetime,100034978 (Gartenstraße),101034978 (Gartenstraße einwärts),102034978 (Gartenstraße auswärts),100034978-status,101034978-status,102034978-status
2026-06-01 00:00,0,0,0,0,0,0
2026-06-01 00:15,0,0,0,0,0,0
2026-06-01 00:30,0,0,0,0,0,0
2026-06-01 00:45,2,1,1,0,0,0
2026-06-01 01:00,0,0,0,0,0,0
2026-06-01 01:15,0,0,0,0,0,0
2026-06-01 01:30,2,0,2,0,0,0
2026-06-01 01:45,0,0,0,0,0,0
2026-06-01 02:00,0,0,0,0,0,0
2026-06-01 02:15,1,0,1,0,0,0
2026-06-01 02:30,1,1,0,0,0,0
2026-06-01 02:45,0,0,0,0,0,0
2026-06-01 03:00,0,0,0,0,0,0
2026-06-01 03:15,2,2,0,0,0,0
2026-06-01 03:30,1,0,1,0,0,0
2026-06-01 03:45,4,3,1,0,0,0
2026-06-01 04:00,1,0,1,0,0,0
2026-06-01 04:15,1,0,1,0,0,0
2026-06-01 04:30,2,2,0,0,0,0
2026-06-01 04:45,2,0,2,0,0,0
2026-06-01 05:00,0,0,0,0,0,0
2026-06-01 05:15,3,3,0,0,0,0
2026-06-01 05:30,6,5,1,0,0,0
2026-06-01 05:45,6,3,3,0,0,0
2026-06-01 06:00,18,7,11,0,0,0
2026-06-01 06:15,27,12,15,0,0,0
2026-06-01 06:30,24,11,13,0,0,0
2026-06-01 06:45,29,13,16,0,0,0
2026-06-01 07:00,30,22,8,0,0,0
2026-06-01 07:15,95,71,24,0,0,0
2026-06-01 07:30,145,119,26,0,0,0
2026-06-01 07:45,85,63,22,0,0,0
2026-06-01 08:00,63,44,19,0,0,0
2026-06-01 08:15,62,39,23,0,0,0
2026-06-01 08:30,56,40,16,0,0,0
2026-06-01 08:45,58,39,19,0,0,0
2026-06-01 09:00,44,28,16,0,0,0
2026-06-01 09:15,41,31,10,0,0,0
2026-06-01 09:30,41,29,12,0,0,0
2026-06-01 09:45,53,43,10,0,0,0
2026-06-01 10:00,45,28,17,0,0,0
2026-06-01 10:15,32,25,7,0,0,0
2026-06-01 10:30,36,25,11,0,0,0
2026-06-01 10:45,35,29,6,0,0,0
2026-06-01 11:00,41,24,17,0,0,0
2026-06-01 11:15,38,22,16,0,0,0
2026-06-01 11:30,46,24,22,0,0,0
2026-06-01 11:45,52,24,28,0,0,0
2026-06-01 12:00,48,31,17,0,0,0
2026-06-01 12:15,53,27,26,0,0,0
2026-06-01 12:30,46,24,22,0,0,0
2026-06-01 12:45,33,24,9,0,0,0
2026-06-01 13:00,64,29,35,0,0,0
2026-06-01 13:15,52,27,25,0,0,0
2026-06-01 13:30,44,18,26,0,0,0
2026-06-01 13:45,69,48,21,0,0,0
2026-06-01 14:00,46,24,22,0,0,0
2026-06-01 14:15,69,28,41,0,0,0
2026-06-01 14:30,48,21,27,0,0,0
2026-06-01 14:45,54,31,23,0,0,0
2026-06-01 15:00,76,31,45,0,0,0
2026-06-01 15:15,77,45,32,0,0,0
2026-06-01 15:30,72,38,34,0,0,0
2026-06-01 15:45,78,39,39,0,0,0
2026-06-01 16:00,86,47,39,0,0,0
2026-06-01 16:15,77,43,34,0,0,0
2026-06-01 16:30,81,42,39,0,0,0
2026-06-01 16:45,77,38,39,0,0,0
2026-06-01 17:00,56,29,27,0,0,0
2026-06-01 17:15,89,48,41,0,0,0
2026-06-01 17:30,63,39,24,0,0,0
2026-06-01 17:45,55,34,21,0,0,0
2026-06-01 18:00,66,31,35,0,0,0
2026-06-01 18:15,60,32,28,0,0,0
2026-06-01 18:30,61,36,25,0,0,0
2026-06-01 18:45,48,28,20,0,0,0
2026-06-01 19:00,37,21,16,0,0,0
2026-06-01 19:15,41,19,22,0,0,0
2026-06-01 19:30,38,15,23,0,0,0
2026-06-01 19:45,42,20,22,0,0,0
2026-06-01 20:00,35,11,24,0,0,0
2026-06-01 20:15,38,17,21,0,0,0
2026-06-01 20:30,21,8,13,0,0,0
2026-06-01 20:45,31,18,13,0,0,0
2026-06-01 21:00,18,5,13,0,0,0
2026-06-01 21:15,20,4,16,0,0,0
2026-06-01 21:30,19,3,16,0,0,0
2026-06-01 21:45,25,3,22,0,0,0
2026-06-01 22:00,18,4,14,0,0,0
2026-06-01 22:15,15,2,13,0,0,0
2026-06-01 22:30,15,4,11,0,0,0
2026-06-01 22:45,13,2,11,0,0,0
2026-06-01 23:00,11,5,6,0,0,0
2026-06-01 23:15,4,2,2,0,0,0
2026-06-01 23:30,3,0,3,0,0,0
2026-06-01 23:45,4,2,2,0,0,0
2026-06-02 00:00,3,2,1,0,0,0
2026-06-02 00:15,3,2,1,0,0,0
2026-06-02 00:30,0,0,0,0,0,0
2026-06-02 00:45,1,1,0,0,0,0
2026-06-02 01:00,0,0,,0,0,
2026-06-02 01:15,0,0,,0,0,
2026-06-02 01:30,0,0,,0,0,
2026-06-02 01:45,0,0,,0,0,
2026-06-02 02:00,0,0,,0,0,
2026-06-02 02:15,0,0,,0,0,
2026-06-02 02:30,1,1,,0,0,
2026-06-02 02:45,0,0,,0,0,
2026-06-02 03:00,0,0,,0,0,
2026-06-02 03:15,1,1,,0,0,
2026-06-02 03:30,0,0,,0,0,
2026-06-02 03:45,0,0,,0,0,
2026-06-02 04:00,1,1,,0,0,
2026-06-02 04:15,1,1,,0,0,
2026-06-02 04:30,2,2,,0,0,
2026-06-02 04:45,1,1,,0,0,
