Datetime,100034982 (Hüfferstraße),101034982 (Hüfferstraße stadteinwärts),102034982 (Hüfferstraße stadtauswärts),100034982-status,101034982-status,102034982-status
2026-03-01 00:00,12,7,5,0,0,0
2026-03-01 00:15,21,5,16,0,0,0
2026-03-01 00:30,11,2,9,0,0,0
2026-03-01 00:45,20,3,17,0,0,0
2026-03-01 01:00,7,1,6,0,0,0
2026-03-01 01:15,11,8,3,0,0,0
2026-03-01 01:30,17,2,15,0,0,0
2026-03-01 01:45,9,1,8,0,0,0
2026-03-01 02:00,5,0,5,0,0,0
2026-03-01 02:15,11,0,11,0,0,0
2026-03-01 02:30,10,0,10,0,0,0
2026-03-01 02:45,7,0,7,0,0,0
2026-03-01 03:00,5,,5,0,,0
2026-03-01 03:15,8,,8,0,,0
2026-03-01 03:30,4,,4,0,,0
2026-03-01 03:45,6,,6,0,,0
2026-03-01 04:00,5,,5,0,,0
2026-03-01 04:15,3,,3,0,,0
2026-03-01 04:30,2,,2,0,,0
2026-03-01 04:45,5,,5,0,,0
