Datetime,100034983 (Warendorfer Straße),101034983 (Warendorfer Straße stadteinwärts),102034983 (Warendorfer Straße stadtauswärts),100034983-status,101034983-status,102034983-status
2026-09-01 00:00,10,4,6,0,0,0
2026-09-01 00:15,3,1,2,0,0,0
2026-09-01 00:30,4,1,3,0,0,0
2026-09-01 00:45,3,0,3,0,0,0
2026-09-01 01:00,6,0,6,0,0,0
2026-09-01 01:15,4,0,4,0,0,0
2026-09-01 01:30,3,0,3,0,0,0
2026-09-01 01:45,4,0,4,0,0,0
2026-09-01 02:00,1,0,1,0,0,0
2026-09-01 02:15,0,0,0,0,0,0
2026-09-01 02:30,2,0,2,0,0,0
2026-09-01 02:45,0,0,0,0,0,0
2026-09-01 03:00,2,0,2,0,0,0
2026-09-01 03:15,4,0,4,0,0,0
2026-09-01 03:30,1,0,1,0,0,0
2026-09-01 03:45,4,1,3,0,0,0
2026-09-01 04:00,0,0,0,0,0,0
2026-09-01 04:15,0,0,0,0,0,0
2026-09-01 04:30,0,0,0,0,0,0
2026-09-01 04:45,1,1,0,0,0,0
2026-09-01 05:00,4,1,3,0,0,0
2026-09-01 05:15,3,2,1,0,0,0
2026-09-01 05:30,10,3,7,0,0,0
2026-09-01 05:45,12,3,9,0,0,0
2026-09-01 06:00,16,8,8,0,0,0
2026-09-01 06:15,27,11,16,0,0,0
2026-09-01 06:30,39,23,16,0,0,0
2026-09-01 06:45,57,30,27,0,0,0
2026-09-01 07:00,77,50,27,0,0,0
2026-09-01 07:15,93,52,41,0,0,0
2026-09-01 07:30,130,76,54,0,0,0
2026-09-01 07:45,148,77,71,0,0,0
2026-09-01 08:00,136,78,58,0,0,0
2026-09-01 08:15,133,87,46,0,0,0
2026-09-01 08:30,117,80,37,0,0,0
2026-09-01 08:45,143,100,43,0,0,0
2026-09-01 09:00,86,56,30,0,0,0
2026-09-01 09:15,89,66,23,0,0,0
2026-09-01 09:30,86,55,31,0,0,0
2026-09-01 09:45,111,70,41,0,0,0
2026-09-01 10:00,90,50,40,0,0,0
2026-09-01 10:15,83,46,37,0,0,0
2026-09-01 10:30,75,40,35,0,0,0
2026-09-01 10:45,96,59,37,0,0,0
2026-09-01 11:00,84,47,37,0,0,0
2026-09-01 11:15,97,55,42,0,0,0
2026-09-01 11:30,93,65,28,0,0,0
2026-09-01 11:45,123,71,52,0,0,0
2026-09-01 12:00,109,49,60,0,0,0
2026-09-01 12:15,102,43,59,0,0,0
2026-09-01 12:30,91,41,50,0,0,0
2026-09-01 12:45,101,55,46,0,0,0
2026-09-01 13:00,114,58,56,0,0,0
2026-09-01 13:15,109,49,60,0,0,0
2026-09-01 13:30,116,63,53,0,0,0
2026-09-01 13:45,96,48,48,0,0,0
2026-09-01 14:00,120,60,60,0,0,0
2026-09-01 14:15,139,73,66,0,0,0
2026-09-01 14:30,130,60,70,0,0,0
2026-09-01 14:45,87,34,53,0,0,0
2026-09-01 15:00,168,67,101,0,0,0
2026-09-01 15:15,134,67,67,0,0,0
2026-09-01 15:30,126,69,57,0,0,0
2026-09-01 15:45,130,73,57,0,0,0
2026-09-01 16:00,179,73,106,0,0,0
2026-09-01 16:15,176,93,83,0,0,0
2026-09-01 16:30,153,70,83,0,0,0
2026-09-01 16:45,173,72,101,0,0,0
2026-09-01 17:00,152,73,79,0,0,0
2026-09-01 17:15,175,68,107,0,0,0
2026-09-01 17:30,171,84,87,0,0,0
2026-09-01 17:45,166,65,101,0,0,0
2026-09-01 18:00,133,46,87,0,0,0
2026-09-01 18:15,136,56,80,0,0,0
2026-09-01 18:30,102,49,53,0,0,0
2026-09-01 18:45,135,47,88,0,0,0
2026-09-01 19:00,106,43,63,0,0,0
2026-09-01 19:15,99,40,59,0,0,0
2026-09-01 19:30,89,31,58,0,0,0
2026-09-01 19:45,83,31,52,0,0,0
2026-09-01 20:00,70,22,48,0,0,0
2026-09-01 20:15,71,27,44,0,0,0
2026-09-01 20:30,51,17,34,0,0,0
2026-09-01 20:45,41,17,24,0,0,0
2026-09-01 21:00,41,13,28,0,0,0
2026-09-01 21:15,51,17,34,0,0,0
2026-09-01 21:30,53,14,39,0,0,0
2026-09-01 21:45,42,13,29,0,0,0
2026-09-01 22:00,32,12,20,0,0,0
2026-09-01 22:15,41,13,28,0,0,0
2026-09-01 22:30,26,13,13,0,0,0
2026-09-01 22:45,17,6,11,0,0,0
2026-09-01 23:00,12,6,6,0,0,0
2026-09-01 23:15,10,5,5,0,0,0
2026-09-01 23:30,10,3,7,0,0,0
2026-09-01 23:45,6,1,5,0,0,0
