Datetime,"100053305 (Kanalpromenade, Abschnitt 5)","101053305 (Kanalpromenade, Abschnitt 5 Fahrräder Richtung Osttor)","102053305 (Kanalpromenade, Abschnitt 5 Fahrräder Richtung Zentrum)","103053305 (Kanalpromenade, Abschnitt 5 Fahrräder Richtung Osttor)","104053305 (Kanalpromenade, Abschnitt 5 Fahrräder Richtung Zentrum)","353306596 (Kanalpromenade, Abschnitt 5 Fahrräder Richtung Osttor)","353306597 (Kanalpromenade, Abschnitt 5 Fahrräder Richtung Zentrum)",100053305-status,101053305-status,102053305-status,103053305-status,104053305-status,353306596-status,353306597-status
2025-12-01 00:00,0,0,0,0,0,,,0,0,0,0,0,,
2025-12-01 00:15,0,0,0,0,0,,,0,0,0,0,0,,
2025-12-01 00:30,0,0,0,0,0,,,0,0,0,0,0,,
2025-12-01 00:45,1,0,1,0,0,,,0,0,0,0,0,,
2025-12-01 01:00,0,0,0,0,0,,,0,0,0,0,0,,
2025-12-01 01:15,0,0,0,0,0,,,0,0,0,0,0,,
2025-12-01 01:30,0,0,0,0,0,,,0,0,0,0,0,,
2025-12-01 01:45,0,0,0,0,0,,,0,0,0,0,0,,
2025-12-01 02:00,0,0,0,0,0,,,0,0,0,0,0,,
2025-12-01 02:15,0,0,0,0,0,,,0,0,0,0,0,,
2025-12-01 02:30,0,0,0,0,0,,,0,0,0,0,0,,
2025-12-01 02:45,0,0,0,0,0,,,0,0,0,0,0,,
2025-12-01 03:00,0,0,0,0,0,,,0,0,0,0,0,,
2025-12-01 03:15,0,0,0,0,0,,,0,0,0,0,0,,
2025-12-01 03:30,0,0,0,0,0,,,0,0,0,0,0,,
2025-12-01 03:45,0,0,0,0,0,,,0,0,0,0,0,,
2025-12-01 04:00,1,0,1,0,0,,,0,0,0,0,0,,
2025-12-01 04:15,4,0,4,0,0,,,0,0,0,0,0,,
2025-12-01 04:30,1,0,0,1,0,,,0,0,0,0,0,,
2025-12-01 04:45,1,1,0,0,0,,,0,0,0,0,0,,
2025-12-01 05:00,3,0,1,2,0,,,0,0,0,0,0,,
2025-12-01 05:15,7,1,5,1,0,,,0,0,0,0,0,,
2025-12-01 05:30,7,2,5,0,0,,,0,0,0,0,0,,
2025-12-01 05:45,6,0,5,1,0,,,0,0,0,0,0,,
2025-12-01 06:00,15,1,13,1,0,,,0,0,0,0,0,,
2025-12-01 06:15,10,0,9,1,0,,,0,0,0,0,0,,
2025-12-01 06:30,22,2,14,5,1,,,0,0,0,0,0,,
2025-12-01 06:45,18,0,12,6,0,,,0,0,0,0,0,,
2025-12-01 07:00,26,3,16,7,0,,,0,0,0,0,0,,
2025-12-01 07:15,45,1,36,7,1,,,0,0,0,0,0,,
2025-12-01 07:30,52,7,22,23,0,,,0,0,0,0,0,,
2025-12-01 07:45,38,0,26,12,0,,,0,0,0,0,0,,
2025-12-01 08:00,32,1,21,10,0,,,0,0,0,0,0,,
2025-12-01 08:15,22,0,15,7,0,,,0,0,0,0,0,,
2025-12-01 08:30,20,1,11,8,0,,,0,0,0,0,0,,
2025-12-01 08:45,18,2,11,5,0,,,0,0,0,0,0,,
2025-12-01 09:00,12,0,5,7,0,,,0,0,0,0,0,,
2025-12-01 09:15,10,1,6,3,0,,,0,0,0,0,0,,
2025-12-01 09:30,12,1,8,3,0,,,0,0,0,0,0,,
2025-12-01 09:45,7,1,3,3,0,,,0,0,0,0,0,,
2025-12-01 10:00,8,1,3,4,0,,,0,0,0,0,0,,
2025-12-01 10:15,9,1,5,3,0,,,0,0,0,0,0,,
2025-12-01 10:30,11,0,5,5,1,,,0,0,0,0,0,,
2025-12-01 10:45,12,3,8,1,0,,,0,0,0,0,0,,
2025-12-01 11:00,16,2,9,5,0,,,0,0,0,0,0,,
2025-12-01 11:15,17,4,5,8,0,,,0,0,0,0,0,,
2025-12-01 11:30,11,1,7,3,0,,,0,0,0,0,0,,
2025-12-01 11:45,13,1,5,7,0,,,0,0,0,0,0,,
2025-12-01 12:00,14,2,5,6,1,,,0,0,0,0,0,,
2025-12-01 12:15,8,1,1,6,0,,,0,0,0,0,0,,
2025-12-01 12:30,17,2,10,5,0,,,0,0,0,0,0,,
2025-12-01 12:45,12,1,8,3,0,,,0,0,0,0,0,,
2025-12-01 13:00,21,4,4,13,0,,,0,0,0,0,0,,
2025-12-01 13:15,38,1,20,17,0,,,0,0,0,0,0,,
2025-12-01 13:30,20,0,10,10,0,,,0,0,0,0,0,,
2025-12-01 13:45,17,1,10,5,1,,,0,0,0,0,0,,
2025-12-01 14:00,20,2,8,10,0,,,0,0,0,0,0,,
2025-12-01 14:15,16,3,6,7,0,,,0,0,0,0,0,,
2025-12-01 14:30,16,1,6,9,0,,,0,0,0,0,0,,
2025-12-01 14:45,28,3,11,14,0,,,0,0,0,0,0,,
2025-12-01 15:00,21,2,7,12,0,,,0,0,0,0,0,,
