Datetime,300037920 (Lütkenbecker Weg),353413813 (Lütkenbecker Weg Fahrräder Stadteinwärts),353413814 (Lütkenbecker Weg Fahrräder Stadtauswärts),300037920-status,353413813-status,353413814-status
2026-03-01 00:00,19,6,13,0,0,0
2026-03-01 00:15,12,1,11,0,0,0
2026-03-01 00:30,11,2,9,0,0,0
2026-03-01 00:45,8,5,3,0,0,0
2026-03-01 01:00,8,5,3,0,0,0
2026-03-01 01:15,12,4,8,0,0,0
2026-03-01 01:30,8,4,4,0,0,0
2026-03-01 01:45,10,0,10,0,0,0
2026-03-01 02:00,7,3,4,0,0,0
2026-03-01 02:15,19,4,15,0,0,0
2026-03-01 02:30,3,0,3,0,0,0
2026-03-01 02:45,12,12,0,0,0,0
2026-03-01 03:00,6,1,5,0,0,0
2026-03-01 03:15,7,4,3,0,0,0
2026-03-01 03:30,4,2,2,0,0,0
2026-03-01 03:45,0,0,0,0,0,0
2026-03-01 04:00,6,6,0,0,0,0
2026-03-01 04:15,1,1,0,0,0,0
2026-03-01 04:30,1,0,1,0,0,0
2026-03-01 04:45,2,2,0,0,0,0
2026-03-01 05:00,0,0,0,0,0,0
2026-03-01 05:15,3,3,0,0,0,0
2026-03-01 05:30,2,2,0,0,0,0
2026-03-01 05:45,2,1,1,0,0,0
2026-03-01 06:00,2,1,1,0,0,0
2026-03-01 06:15,5,3,2,0,0,0
2026-03-01 06:30,1,1,0,0,0,0
2026-03-01 06:45,6,5,1,0,0,0
2026-03-01 07:00,4,2,2,0,0,0
2026-03-01 07:15,4,3,1,0,0,0
2026-03-01 07:30,3,1,2,0,0,0
2026-03-01 07:45,4,1,3,0,0,0
2026-03-01 08:00,12,10,2,0,0,0
2026-03-01 08:15,5,2,3,0,0,0
2026-03-01 08:30,9,5,4,0,0,0
2026-03-01 08:45,10,5,5,0,0,0
2026-03-01 09:00,12,10,2,0,0,0
2026-03-01 09:15,13,9,4,0,0,0
2026-03-01 09:30,15,10,5,0,0,0
2026-03-01 09:45,27,21,6,0,0,0
2026-03-01 10:00,23,10,13,0,0,0
2026-03-01 10:15,26,12,14,0,0,0
2026-03-01 10:30,25,15,10,0,0,0
2026-03-01 10:45,26,6,20,0,0,0
2026-03-01 11:00,27,17,10,0,0,0
2026-03-01 11:15,35,17,18,0,0,0
2026-03-01 11:30,41,13,28,0,0,0
2026-03-01 11:45,59,24,35,0,0,0
2026-03-01 12:00,64,28,36,0,0,0
2026-03-01 12:15,53,21,32,0,0,0
2026-03-01 12:30,49,23,26,0,0,0
2026-03-01 12:45,55,30,25,0,0,0
2026-03-01 13:00,56,30,26,0,0,0
2026-03-01 13:15,54,22,32,0,0,0
2026-03-01 13:30,45,17,28,0,0,0
2026-03-01 13:45,49,27,22,0,0,0
2026-03-01 14:00,63,34,29,0,0,0
2026-03-01 14:15,65,31,34,0,0,0
2026-03-01 14:30,85,40,45,0,0,0
2026-03-01 14:45,76,39,37,0,0,0
2026-03-01 15:00,67,41,26,0,0,0
2026-03-01 15:15,70,26,44,0,0,0
2026-03-01 15:30,64,33,31,0,0,0
2026-03-01 15:45,76,29,47,0,0,0
2026-03-01 16:00,71,43,28,0,0,0
2026-03-01 16:15,61,22,39,0,0,0
2026-03-01 16:30,64,31,33,0,0,0
2026-03-01 16:45,45,29,16,0,0,0
2026-03-01 17:00,33,15,18,0,0,0
2026-03-01 17:15,71,40,31,0,0,0
2026-03-01 17:30,51,27,24,0,0,0
2026-03-01 17:45,52,25,27,0,0,0
2026-03-01 18:00,40,17,23,0,0,0
2026-03-01 18:15,32,14,18,0,0,0
2026-03-01 18:30,30,20,10,0,0,0
2026-03-01 18:45,25,13,12,0,0,0
2026-03-01 19:00,23,16,7,0,0,0
2026-03-01 19:15,25,7,18,0,0,0
2026-03-01 19:30,19,6,13,0,0,0
2026-03-01 19:45,36,13,23,0,0,0
2026-03-01 20:00,30,12,18,0,0,0
2026-03-01 20:15,14,4,10,0,0,0
2026-03-01 20:30,11,5,6,0,0,0
2026-03-01 20:45,13,6,7,0,0,0
2026-03-01 21:00,15,5,10,0,0,0
2026-03-01 21:15,6,1,5,0,0,0
2026-03-01 21:30,3,1,2,0,0,0
2026-03-01 21:45,6,1,5,0,0,0
2026-03-01 22:00,16,3,13,0,0,0
2026-03-01 22:15,2,0,2,0,0,0
2026-03-01 22:30,2,0,2,0,0,0
2026-03-01 22:45,5,1,4,0,0,0
2026-03-01 23:00,1,0,1,0,0,0
2026-03-01 23:15,1,0,1,0,0,0
2026-03-01 23:30,2,0,2,0,0,0
2026-03-01 23:45,1,0,1,0,0,0
2026-03-02 00:00,1,1,0,0,0,0
2026-03-02 00:15,0,0,0,0,0,0
2026-03-02 00:30,1,0,1,0,0,0
2026-03-02 00:45,1,0,1,0,0,0
