Datetime,300037926 (Bohlweg),353413831 (Bohlweg Fahrräder Stadteinwärts),353413832 (Bohlweg Fahrräder Stadtauswärts),353484923 (Bohlweg Fahrräder Stadteinwärts),353484925 (Bohlweg Fahrräder Stadtauswärts),353484927 (Bohlweg Fahrräder Stadteinwärts),353484928 (Bohlweg Fahrräder Stadtauswärts),353484929 (Bohlweg Fahrräder Stadteinwärts),353484930 (Bohlweg Fahrräder Stadtauswärts),300037926-status,353413831-status,353413832-status,353484923-status,353484925-status,353484927-status,353484928-status,353484929-status,353484930-status
2026-01-01 00:00,0,0,0,,,,,,,0,0,0,,,,,,
2026-01-01 00:15,3,1,2,,,,,,,0,0,0,,,,,,
2026-01-01 00:30,17,8,9,,,,,,,0,0,0,,,,,,
2026-01-01 00:45,10,3,7,,,,,,,0,0,0,,,,,,
2026-01-01 01:00,14,8,6,,,,,,,0,0,0,,,,,,
2026-01-01 01:15,18,8,10,,,,,,,0,0,0,,,,,,
2026-01-01 01:30,12,2,10,,,,,,,0,0,0,,,,,,
2026-01-01 01:45,25,15,10,,,,,,,0,0,0,,,,,,
2026-01-01 02:00,28,13,15,,,,,,,0,0,0,,,,,,
2026-01-01 02:15,29,13,16,,,,,,,0,0,0,,,,,,
2026-01-01 02:30,32,17,15,,,,,,,0,0,0,,,,,,
2026-01-01 02:45,31,13,18,,,,,,,0,0,0,,,,,,
2026-01-01 03:00,20,10,10,,,,,,,0,0,0,,,,,,
2026-01-01 03:15,17,8,9,,,,,,,0,0,0,,,,,,
2026-01-01 03:30,15,5,10,,,,,,,0,0,0,,,,,,
2026-01-01 03:45,21,13,8,,,,,,,0,0,0,,,,,,
2026-01-01 04:00,12,4,8,,,,,,,0,0,0,,,,,,
2026-01-01 04:15,8,3,5,,,,,,,0,0,0,,,,,,
2026-01-01 04:30,5,1,4,,,,,,,0,0,0,,,,,,
2026-01-01 04:45,12,7,5,,,,,,,0,0,0,,,,,,
2026-01-01 05:00,4,4,0,,,,,,,0,0,0,,,,,,
2026-01-01 05:15,16,7,9,,,,,,,0,0,0,,,,,,
2026-01-01 05:30,5,4,1,,,,,,,0,0,0,,,,,,
2026-01-01 05:45,2,2,0,,,,,,,0,0,0,,,,,,
