Datetime,300037928 (Kinderhauser Str.),353413835 (Kinderhauser Str. [Bike Stadteinwärts]),353413836 (Kinderhauser Str. [Bike Stadtauswärts]),300037928-status,353413835-status,353413836-status
2024-07-01 00:00,1,0,1,0,0,0
2024-07-01 00:15,0,0,0,0,0,0
2024-07-01 00:30,1,0,1,0,0,0
2024-07-01 00:45,1,0,1,0,0,0
2024-07-01 01:00,0,0,0,0,0,0
2024-07-01 01:15,0,0,0,0,0,0
2024-07-01 01:30,0,0,0,0,0,0
2024-07-01 01:45,0,0,0,0,0,0
2024-07-01 02:00,0,0,0,0,0,0
2024-07-01 02:15,0,0,0,0,0,0
2024-07-01 02:30,0,0,0,0,0,0
2024-07-01 02:45,0,0,0,0,0,0
2024-07-01 03:00,0,0,0,0,0,0
2024-07-01 03:15,1,0,1,0,0,0
2024-07-01 03:30,0,0,0,0,0,0
2024-07-01 03:45,0,0,0,0,0,0
2024-07-01 04:00,0,0,0,0,0,0
2024-07-01 04:15,1,0,1,0,0,0
2024-07-01 04:30,0,0,0,0,0,0
2024-07-01 04:45,3,2,1,0,0,0
2024-07-01 05:00,3,2,1,0,0,0
2024-07-01 05:15,5,5,0,0,0,0
2024-07-01 05:30,4,3,1,0,0,0
2024-07-01 05:45,2,2,0,0,0,0
2024-07-01 06:00,2,2,0,0,0,0
2024-07-01 06:15,8,7,1,0,0,0
2024-07-01 06:30,13,10,3,0,0,0
2024-07-01 06:45,14,5,9,0,0,0
2024-07-01 07:00,15,9,6,0,0,0
2024-07-01 07:15,30,12,18,0,0,0
2024-07-01 07:30,54,34,20,0,0,0
2024-07-01 07:45,33,23,10,0,0,0
2024-07-01 08:00,27,17,10,0,0,0
2024-07-01 08:15,12,6,6,0,0,0
2024-07-01 08:30,19,11,8,0,0,0
2024-07-01 08:45,19,10,9,0,0,0
2024-07-01 09:00,17,11,6,0,0,0
2024-07-01 09:15,7,2,5,0,0,0
2024-07-01 09:30,16,9,7,0,0,0
2024-07-01 09:45,17,8,9,0,0,0
2024-07-01 10:00,23,13,10,0,0,0
2024-07-01 10:15,11,3,8,0,0,0
2024-07-01 10:30,16,6,10,0,0,0
2024-07-01 10:45,11,7,4,0,0,0
2024-07-01 11:00,14,5,9,0,0,0
2024-07-01 11:15,16,5,11,0,0,0
2024-07-01 11:30,26,10,16,0,0,0
2024-07-01 11:45,24,9,15,0,0,0
2024-07-01 12:00,19,9,10,0,0,0
2024-07-01 12:15,17,10,7,0,0,0
2024-07-01 12:30,14,7,7,0,0,0
2024-07-01 12:45,19,8,11,0,0,0
2024-07-01 13:00,17,10,7,0,0,0
2024-07-01 13:15,18,5,13,0,0,0
2024-07-01 13:30,17,9,8,0,0,0
2024-07-01 13:45,24,8,16,0,0,0
2024-07-01 14:00,30,14,16,0,0,0
2024-07-01 14:15,14,6,8,0,0,0
2024-07-01 14:30,15,1,14,0,0,0
2024-07-01 14:45,24,8,16,0,0,0
2024-07-01 15:00,14,6,8,0,0,0
2024-07-01 15:15,17,5,12,0,0,0
2024-07-01 15:30,21,9,12,0,0,0
2024-07-01 15:45,18,11,7,0,0,0
2024-07-01 16:00,28,10,18,0,0,0
2024-07-01 16:15,27,10,17,0,0,0
2024-07-01 16:30,32,17,15,0,0,0
2024-07-01 16:45,16,9,7,0,0,0
2024-07-01 17:00,22,10,12,0,0,0
2024-07-01 17:15,23,8,15,0,0,0
2024-07-01 17:30,13,5,8,0,0,0
2024-07-01 17:45,14,7,7,0,0,0
2024-07-01 18:00,37,15,22,0,0,0
2024-07-01 18:15,31,11,20,0,0,0
2024-07-01 18:30,18,10,8,0,0,0
2024-07-01 18:45,18,10,8,0,0,0
2024-07-01 19:00,16,8,8,0,0,0
2024-07-01 19:15,14,4,10,0,0,0
2024-07-01 19:30,10,2,8,0,0,0
2024-07-01 19:45,11,3,8,0,0,0
2024-07-01 20:00,18,10,8,0,0,0
2024-07-01 20:15,18,9,9,0,0,0
2024-07-01 20:30,3,0,3,0,0,0
2024-07-01 20:45,15,6,9,0,0,0
2024-07-01 21:00,7,4,3,0,0,0
2024-07-01 21:15,7,3,4,0,0,0
2024-07-01 21:30,10,3,7,0,0,0
2024-07-01 21:45,4,3,1,0,0,0
2024-07-01 22:00,5,3,2,0,0,0
2024-07-01 22:15,4,1,3,0,0,0
2024-07-01 22:30,6,4,2,0,0,0
2024-07-01 22:45,0,0,0,0,0,0
2024-07-01 23:00,2,2,0,0,0,0
2024-07-01 23:15,4,2,2,0,0,0
2024-07-01 23:30,1,0,1,0,0,0
2024-07-01 23:45,0,0,0,0,0,0
