Datetime,300037928 (Kinderhauser Str.),353413835 (Kinderhauser Str. Fahrräder Stadteinwärts),353413836 (Kinderhauser Str. Fahrräder Stadtauswärts),300037928-status,353413835-status,353413836-status
2025-12-01 00:00,1,0,1,0,0,0
2025-12-01 00:15,2,0,2,0,0,0
2025-12-01 00:30,1,1,0,0,0,0
2025-12-01 00:45,0,0,0,0,0,0
2025-12-01 01:00,0,0,0,0,0,0
2025-12-01 01:15,0,0,0,0,0,0
2025-12-01 01:30,0,0,0,0,0,0
2025-12-01 01:45,1,1,0,0,0,0
2025-12-01 02:00,0,0,0,0,0,0
2025-12-01 02:15,0,0,0,0,0,0
2025-12-01 02:30,0,0,0,0,0,0
2025-12-01 02:45,1,0,1,0,0,0
2025-12-01 03:00,0,0,0,0,0,0
2025-12-01 03:15,0,0,0,0,0,0
2025-12-01 03:30,0,0,0,0,0,0
2025-12-01 03:45,0,0,0,0,0,0
2025-12-01 04:00,6,6,0,0,0,0
2025-12-01 04:15,4,1,3,0,0,0
2025-12-01 04:30,0,0,0,0,0,0
2025-12-01 04:45,0,0,0,0,0,0
2025-12-01 05:00,2,2,0,0,0,0
2025-12-01 05:15,1,1,0,0,0,0
2025-12-01 05:30,5,4,1,0,0,0
2025-12-01 05:45,1,0,1,0,0,0
2025-12-01 06:00,6,6,0,0,0,0
2025-12-01 06:15,9,8,1,0,0,0
2025-12-01 06:30,23,17,6,0,0,0
2025-12-01 06:45,19,10,9,0,0,0
2025-12-01 07:00,15,10,5,0,0,0
2025-12-01 07:15,18,11,7,0,0,0
2025-12-01 07:30,60,38,22,0,0,0
2025-12-01 07:45,53,44,9,0,0,0
2025-12-01 08:00,47,25,22,0,0,0
2025-12-01 08:15,23,11,12,0,0,0
2025-12-01 08:30,35,16,19,0,0,0
2025-12-01 08:45,24,12,12,0,0,0
2025-12-01 09:00,8,4,4,0,0,0
2025-12-01 09:15,15,5,10,0,0,0
2025-12-01 09:30,23,12,11,0,0,0
2025-12-01 09:45,31,15,16,0,0,0
2025-12-01 10:00,20,11,9,0,0,0
2025-12-01 10:15,11,5,6,0,0,0
2025-12-01 10:30,13,6,7,0,0,0
2025-12-01 10:45,10,5,5,0,0,0
2025-12-01 11:00,9,5,4,0,0,0
2025-12-01 11:15,14,8,6,0,0,0
2025-12-01 11:30,18,12,6,0,0,0
2025-12-01 11:45,22,8,14,0,0,0
2025-12-01 12:00,22,8,14,0,0,0
2025-12-01 12:15,20,14,6,0,0,0
2025-12-01 12:30,29,11,18,0,0,0
2025-12-01 12:45,15,12,3,0,0,0
2025-12-01 13:00,22,12,10,0,0,0
2025-12-01 13:15,30,13,17,0,0,0
2025-12-01 13:30,18,9,9,0,0,0
2025-12-01 13:45,15,7,8,0,0,0
2025-12-01 14:00,21,9,12,0,0,0
2025-12-01 14:15,17,4,13,0,0,0
2025-12-01 14:30,17,9,8,0,0,0
2025-12-01 14:45,25,13,12,0,0,0
2025-12-01 15:00,33,9,24,0,0,0
2025-12-01 15:15,22,11,11,0,0,0
2025-12-01 15:30,31,6,25,0,0,0
2025-12-01 15:45,35,15,20,0,0,0
2025-12-01 16:00,49,13,36,0,0,0
2025-12-01 16:15,24,14,10,0,0,0
2025-12-01 16:30,33,5,28,0,0,0
2025-12-01 16:45,31,12,19,0,0,0
2025-12-01 17:00,25,9,16,0,0,0
2025-12-01 17:15,25,10,15,0,0,0
2025-12-01 17:30,29,10,19,0,0,0
2025-12-01 17:45,26,15,11,0,0,0
2025-12-01 18:00,25,8,17,0,0,0
2025-12-01 18:15,21,8,13,0,0,0
2025-12-01 18:30,23,6,17,0,0,0
2025-12-01 18:45,23,11,12,0,0,0
2025-12-01 19:00,24,17,7,0,0,0
2025-12-01 19:15,13,6,7,0,0,0
2025-12-01 19:30,9,2,7,0,0,0
2025-12-01 19:45,20,8,12,0,0,0
2025-12-01 20:00,14,6,8,0,0,0
2025-12-01 20:15,14,7,7,0,0,0
2025-12-01 20:30,16,5,11,0,0,0
2025-12-01 20:45,9,1,8,0,0,0
2025-12-01 21:00,12,1,11,0,0,0
2025-12-01 21:15,3,1,2,0,0,0
2025-12-01 21:30,6,4,2,0,0,0
2025-12-01 21:45,3,0,3,0,0,0
2025-12-01 22:00,13,6,7,0,0,0
2025-12-01 22:15,11,5,6,0,0,0
2025-12-01 22:30,6,1,5,0,0,0
2025-12-01 22:45,3,1,2,0,0,0
2025-12-01 23:00,3,0,3,0,0,0
2025-12-01 23:15,0,0,0,0,0,0
2025-12-01 23:30,0,0,0,0,0,0
2025-12-01 23:45,0,0,0,0,0,0
2025-12-02 00:00,2,0,2,0,0,0
