Datetime,300037932 (Schmeddingstraße),353413849 (Schmeddingstraße [Bike Stadteinwärts]),353413850 (Schmeddingstraße [Bike Stadtauswärts]),300037932-status,353413849-status,353413850-status
2024-09-01 00:00,23,6,17,0,0,0
2024-09-01 00:15,18,4,14,0,0,0
2024-09-01 00:30,14,6,8,0,0,0
2024-09-01 00:45,7,1,6,0,0,0
2024-09-01 01:00,20,3,17,0,0,0
2024-09-01 01:15,7,1,6,0,0,0
2024-09-01 01:30,8,2,6,0,0,0
2024-09-01 01:45,11,3,8,0,0,0
2024-09-01 02:00,6,1,5,0,0,0
2024-09-01 02:15,6,4,2,0,0,0
2024-09-01 02:30,8,4,4,0,0,0
2024-09-01 02:45,4,2,2,0,0,0
2024-09-01 03:00,7,1,6,0,0,0
2024-09-01 03:15,5,0,5,0,0,0
2024-09-01 03:30,3,0,3,0,0,0
2024-09-01 03:45,2,1,1,0,0,0
2024-09-01 04:00,3,1,2,0,0,0
2024-09-01 04:15,1,0,1,0,0,0
2024-09-01 04:30,4,0,4,0,0,0
2024-09-01 04:45,2,0,2,0,0,0
2024-09-01 05:00,0,0,0,0,0,0
2024-09-01 05:15,3,2,1,0,0,0
2024-09-01 05:30,1,1,0,0,0,0
2024-09-01 05:45,3,2,1,0,0,0
2024-09-01 06:00,2,0,2,0,0,0
2024-09-01 06:15,4,0,4,0,0,0
2024-09-01 06:30,3,3,0,0,0,0
2024-09-01 06:45,6,4,2,0,0,0
2024-09-01 07:00,2,2,0,0,0,0
2024-09-01 07:15,4,4,0,0,0,0
2024-09-01 07:30,4,2,2,0,0,0
2024-09-01 07:45,6,4,2,0,0,0
2024-09-01 08:00,13,7,6,0,0,0
2024-09-01 08:15,15,8,7,0,0,0
2024-09-01 08:30,8,4,4,0,0,0
2024-09-01 08:45,5,3,2,0,0,0
2024-09-01 09:00,19,14,5,0,0,0
2024-09-01 09:15,18,10,8,0,0,0
2024-09-01 09:30,22,14,8,0,0,0
2024-09-01 09:45,27,19,8,0,0,0
2024-09-01 10:00,30,20,10,0,0,0
2024-09-01 10:15,48,37,11,0,0,0
2024-09-01 10:30,16,10,6,0,0,0
2024-09-01 10:45,42,25,17,0,0,0
2024-09-01 11:00,25,15,10,0,0,0
2024-09-01 11:15,31,16,15,0,0,0
2024-09-01 11:30,22,11,11,0,0,0
2024-09-01 11:45,46,22,24,0,0,0
2024-09-01 12:00,33,20,13,0,0,0
2024-09-01 12:15,25,11,14,0,0,0
2024-09-01 12:30,47,24,23,0,0,0
2024-09-01 12:45,38,15,23,0,0,0
2024-09-01 13:00,50,27,23,0,0,0
2024-09-01 13:15,37,24,13,0,0,0
2024-09-01 13:30,38,19,19,0,0,0
2024-09-01 13:45,37,15,22,0,0,0
2024-09-01 14:00,34,17,17,0,0,0
2024-09-01 14:15,47,28,19,0,0,0
2024-09-01 14:30,39,21,18,0,0,0
2024-09-01 14:45,42,16,26,0,0,0
2024-09-01 15:00,49,30,19,0,0,0
2024-09-01 15:15,37,20,17,0,0,0
2024-09-01 15:30,55,28,27,0,0,0
2024-09-01 15:45,47,24,23,0,0,0
2024-09-01 16:00,30,11,19,0,0,0
2024-09-01 16:15,35,14,21,0,0,0
2024-09-01 16:30,43,23,20,0,0,0
2024-09-01 16:45,41,18,23,0,0,0
2024-09-01 17:00,44,16,28,0,0,0
2024-09-01 17:15,48,27,21,0,0,0
2024-09-01 17:30,47,25,22,0,0,0
2024-09-01 17:45,57,22,35,0,0,0
2024-09-01 18:00,42,21,21,0,0,0
2024-09-01 18:15,42,17,25,0,0,0
2024-09-01 18:30,29,12,17,0,0,0
2024-09-01 18:45,39,16,23,0,0,0
2024-09-01 19:00,30,10,20,0,0,0
2024-09-01 19:15,28,15,13,0,0,0
2024-09-01 19:30,29,16,13,0,0,0
2024-09-01 19:45,28,12,16,0,0,0
2024-09-01 20:00,25,10,15,0,0,0
2024-09-01 20:15,42,13,29,0,0,0
2024-09-01 20:30,20,8,12,0,0,0
2024-09-01 20:45,14,6,8,0,0,0
2024-09-01 21:00,13,5,8,0,0,0
2024-09-01 21:15,18,9,9,0,0,0
2024-09-01 21:30,8,3,5,0,0,0
2024-09-01 21:45,15,1,14,0,0,0
2024-09-01 22:00,17,2,15,0,0,0
2024-09-01 22:15,13,3,10,0,0,0
2024-09-01 22:30,10,1,9,0,0,0
2024-09-01 22:45,5,0,5,0,0,0
2024-09-01 23:00,6,0,6,0,0,0
2024-09-01 23:15,4,1,3,0,0,0
2024-09-01 23:30,4,2,2,0,0,0
2024-09-01 23:45,2,0,2,0,0,0
