Datetime,300038855 (Bismarckallee),353420516 (Bismarckallee Fahrräder OUT),353420517 (Bismarckallee Fahrräder IN),300038855-status,353420516-status,353420517-status
2026-07-01 00:00,7,1,6,0,0,0
2026-07-01 00:15,5,1,4,0,0,0
2026-07-01 00:30,3,1,2,0,0,0
2026-07-01 00:45,6,0,6,0,0,0
2026-07-01 01:00,14,2,12,0,0,0
2026-07-01 01:15,4,0,4,0,0,0
2026-07-01 01:30,1,0,1,0,0,0
2026-07-01 01:45,1,0,1,0,0,0
2026-07-01 02:00,2,1,1,0,0,0
2026-07-01 02:15,2,0,2,0,0,0
2026-07-01 02:30,2,0,2,0,0,0
2026-07-01 02:45,0,0,0,0,0,0
2026-07-01 03:00,0,0,0,0,0,0
2026-07-01 03:15,2,0,2,0,0,0
2026-07-01 03:30,0,0,0,0,0,0
2026-07-01 03:45,1,1,0,0,0,0
2026-07-01 04:00,1,1,0,0,0,0
2026-07-01 04:15,2,1,1,0,0,0
2026-07-01 04:30,2,0,2,0,0,0
2026-07-01 04:45,0,0,0,0,0,0
