Datetime,300039328 (Coesfelder Kreuz),353425081 (Coesfelder Kreuz Stadteinwärts),353425082 (Coesfelder Kreuz Stadtauswärts),300039328-status,353425081-status,353425082-status
2026-06-01 00:00,4,1,3,0,0,0
2026-06-01 00:15,3,1,2,0,0,0
2026-06-01 00:30,5,0,5,0,0,0
2026-06-01 00:45,6,2,4,0,0,0
2026-06-01 01:00,8,0,8,0,0,0
2026-06-01 01:15,9,5,4,0,0,0
2026-06-01 01:30,2,0,2,0,0,0
2026-06-01 01:45,1,1,0,0,0,0
2026-06-01 02:00,2,1,1,0,0,0
2026-06-01 02:15,0,0,0,0,0,0
2026-06-01 02:30,0,0,0,0,0,0
2026-06-01 02:45,0,0,0,0,0,0
2026-06-01 03:00,1,1,0,0,0,0
2026-06-01 03:15,1,0,1,0,0,0
2026-06-01 03:30,0,0,0,0,0,0
2026-06-01 03:45,0,0,0,0,0,0
2026-06-01 04:00,1,1,0,0,0,0
2026-06-01 04:15,4,2,2,0,0,0
2026-06-01 04:30,7,1,6,0,0,0
2026-06-01 04:45,5,1,4,0,0,0
