Datetime,300039331 (Grevener Straße),353425091 (Grevener Straße Formel - Fahrräder Stadteinwärts),353425097 (Grevener Straße Formel- Fahrräder Stadtauswärts),300039331-status,353425091-status,353425097-status
2025-10-01 00:00,4,3,1,0,0,0
2025-10-01 00:15,1,0,1,0,0,0
2025-10-01 00:30,0,0,0,0,0,0
2025-10-01 00:45,2,0,2,0,0,0
2025-10-01 01:00,2,1,1,0,0,0
2025-10-01 01:15,3,2,1,0,0,0
2025-10-01 01:30,2,0,2,0,0,0
2025-10-01 01:45,7,5,2,0,0,0
2025-10-01 02:00,1,1,0,0,0,0
2025-10-01 02:15,1,0,1,0,0,0
2025-10-01 02:30,0,0,0,0,0,0
2025-10-01 02:45,1,0,1,0,0,0
2025-10-01 03:00,2,1,1,0,0,0
2025-10-01 03:15,3,1,2,0,0,0
2025-10-01 03:30,0,0,0,0,0,0
2025-10-01 03:45,1,0,1,0,0,0
2025-10-01 04:00,0,0,0,0,0,0
2025-10-01 04:15,0,0,0,0,0,0
2025-10-01 04:30,0,0,0,0,0,0
2025-10-01 04:45,4,4,0,0,0,0
2025-10-01 05:00,1,1,0,0,0,0
2025-10-01 05:15,4,3,1,0,0,0
2025-10-01 05:30,4,1,3,0,0,0
2025-10-01 05:45,5,1,4,0,0,0
2025-10-01 06:00,2,2,0,0,0,0
2025-10-01 06:15,12,8,4,0,0,0
2025-10-01 06:30,8,5,3,0,0,0
2025-10-01 06:45,18,10,8,0,0,0
2025-10-01 07:00,10,7,3,0,0,0
2025-10-01 07:15,25,13,12,0,0,0
2025-10-01 07:30,22,15,7,0,0,0
2025-10-01 07:45,50,29,21,0,0,0
2025-10-01 08:00,31,16,15,0,0,0
2025-10-01 08:15,15,7,8,0,0,0
2025-10-01 08:30,18,13,5,0,0,0
2025-10-01 08:45,19,16,3,0,0,0
2025-10-01 09:00,17,6,11,0,0,0
2025-10-01 09:15,26,14,12,0,0,0
2025-10-01 09:30,14,7,7,0,0,0
2025-10-01 09:45,16,8,8,0,0,0
2025-10-01 10:00,15,6,9,0,0,0
2025-10-01 10:15,16,8,8,0,0,0
2025-10-01 10:30,12,5,7,0,0,0
2025-10-01 10:45,18,11,7,0,0,0
2025-10-01 11:00,17,8,9,0,0,0
2025-10-01 11:15,15,4,11,0,0,0
2025-10-01 11:30,17,9,8,0,0,0
2025-10-01 11:45,21,12,9,0,0,0
2025-10-01 12:00,30,15,15,0,0,0
2025-10-01 12:15,22,14,8,0,0,0
2025-10-01 12:30,17,9,8,0,0,0
2025-10-01 12:45,26,13,13,0,0,0
2025-10-01 13:00,26,9,17,0,0,0
2025-10-01 13:15,40,14,26,0,0,0
2025-10-01 13:30,19,7,12,0,0,0
2025-10-01 13:45,20,11,9,0,0,0
2025-10-01 14:00,23,14,9,0,0,0
2025-10-01 14:15,37,24,13,0,0,0
2025-10-01 14:30,29,15,14,0,0,0
2025-10-01 14:45,33,18,15,0,0,0
2025-10-01 15:00,34,17,17,0,0,0
2025-10-01 15:15,45,20,25,0,0,0
2025-10-01 15:30,27,14,13,0,0,0
2025-10-01 15:45,40,17,23,0,0,0
2025-10-01 16:00,37,18,19,0,0,0
2025-10-01 16:15,36,13,23,0,0,0
2025-10-01 16:30,36,16,20,0,0,0
2025-10-01 16:45,34,20,14,0,0,0
2025-10-01 17:00,28,9,19,0,0,0
2025-10-01 17:15,40,26,14,0,0,0
2025-10-01 17:30,32,17,15,0,0,0
2025-10-01 17:45,42,17,25,0,0,0
2025-10-01 18:00,33,19,14,0,0,0
2025-10-01 18:15,46,15,31,0,0,0
2025-10-01 18:30,38,20,18,0,0,0
2025-10-01 18:45,23,8,15,0,0,0
2025-10-01 19:00,20,9,11,0,0,0
2025-10-01 19:15,14,8,6,0,0,0
2025-10-01 19:30,25,11,14,0,0,0
2025-10-01 19:45,20,12,8,0,0,0
2025-10-01 20:00,23,6,17,0,0,0
2025-10-01 20:15,21,12,9,0,0,0
2025-10-01 20:30,20,8,12,0,0,0
2025-10-01 20:45,12,6,6,0,0,0
2025-10-01 21:00,17,6,11,0,0,0
2025-10-01 21:15,13,6,7,0,0,0
2025-10-01 21:30,9,4,5,0,0,0
2025-10-01 21:45,9,8,1,0,0,0
2025-10-01 22:00,13,2,11,0,0,0
2025-10-01 22:15,12,6,6,0,0,0
2025-10-01 22:30,6,0,6,0,0,0
2025-10-01 22:45,6,3,3,0,0,0
2025-10-01 23:00,10,3,7,0,0,0
2025-10-01 23:15,4,3,1,0,0,0
2025-10-01 23:30,4,2,2,0,0,0
2025-10-01 23:45,3,1,2,0,0,0
2025-10-02 00:00,3,1,2,0,0,0
2025-10-02 00:15,2,1,1,0,0,0
2025-10-02 00:30,1,0,1,0,0,0
2025-10-02 00:45,4,3,1,0,0,0
2025-10-02 01:00,2,1,1,0,0,0
2025-10-02 01:15,1,0,1,0,0,0
2025-10-02 01:30,1,0,1,0,0,0
2025-10-02 01:45,4,2,2,0,0,0
